DLY4_X2N_A9PP84TR_C16 : 0.081, 19 times
DLY2_X4N_A9PP84TR_C16 : 0.048, 13 times
DLY2_X4N_A9PP84TSL_C16 : 0.029, 3 times
DLY2_X1N_A9PP84TR_C16 : 0.027, 60 times
delay100x1 : 0.175, 45 times
DLY2_X2N_A9PP84TR_C16 : 0.034, 57 times
DLY4_X4N_A9PP84TR_C16 : 0.097, 114 times
DLY2_X1N_A9PP84TL_C16 : 0.061, 3 times
DLY4_X1N_A9PP84TR_C16 : 0.074, 42 times
delay250x1 : 0.448, 365 times
